Metadata,https://docs.google.com/spreadsheets/d/1LC1BVzHsjmwq2FEqtoJhslfPbsr1m0mBYsUb8gA_4mc/edit?gid=1166627944#gid=1166627944,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Coach Name,,,,,,,,,,,,,,,,,,,,,,,,
,Wings of Ruin,RayOfDarkness,,,,,,,,,,,,,,,,,,,,,,,,
,Arizona Swellows,jowdy,,,,,,,,,,,,,,,,,,,,,,,,
,The Golden Age,Tiger78,,,,,,,,,,,,,,,,,,,,,,,,
,Adapt or Drown,Arboursole,,,,,,,,,,,,,,,,,,,,,,,,
,cough agree guys?,Tezzy,,,,,,,,,,,,,,,,,,,,,,,,
,THE LEGENDARY LEVICNCIANS,Squigs,,,,,,,,,,,,,,,,,,,,,,,,
,Anistar Angels,Katie,,,,,,,,,,,,,,,,,,,,,,,,
,Sigma Grindset,Le Chonk,,,,,,,,,,,,,,,,,,,,,,,,
,Expanding Force,Matt,,,,,,,,,,,,,,,,,,,,,,,,
,Rampaging Rufflets,rssp1,,,,,,,,,,,,,,,,,,,,,,,,
,Alaka-ZAMMNN!!,Joseph,,,,,,,,,,,,,,,,,,,,,,,,
,Mass Times Velocity,brokenmotor,,,,,,,,,,,,,,,,,,,,,,,,
,Daddy Smurf,blerg,,,,,,,,,,,,,,,,,,,,,,,,
,Five Turns in Rain,Penxil,,,,,,,,,,,,,,,,,,,,,,,,
,Chesapeke Cloyster Catchers,insideoutside,,,,,,,,,,,,,,,,,,,,,,,,
,,David V,,,,,,,,,,,,,,,,,,,,,,,,
,Slow and Not Steady,NAMU,,,,,,,,,,,,,,,,,,,,,,,,
,Mendicant Bias,Anthony,,,,,,,,,,,,,,,,,,,,,,,,
,Derpy Dondozos,RobotX888,,,,,,,,,,,,,,,,,,,,,,,,
,Spectral Alloy,rsha256,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,4,6,David V,L,3,vs.,3,W,brokenmotor,9,L,-3,,,,,,,,,,,,,
,4,5,7,Penxil,W,4,vs.,4,L,Anthony,8,W,4,,,,,,,,,,,,,
,5,1,1,rsha256,DF,3,vs.,3,W,RobotX888,5,L,-3,,,,,,,,,,,,,
,5,2,4,blerg,W,3,vs.,3,DF,NAMU,10,W,3,,,,,,,,,,,,,
,5,3,3,Joseph,W,2,vs.,2,L,brokenmotor,9,W,2,,,,,,,,,,,,,
,5,4,2,insideoutside,W,5,vs.,5,L,Anthony,8,W,5,,,,,,,,,,,,,
,5,5,6,David V,L,5,vs.,5,W,Penxil,7,L,-5,,,,,,,,,,,,,
,6,1,1,rsha256,DF,3,vs.,3,W,NAMU,10,L,-3,,,,,,,,,,,,,
,6,2,5,RobotX888,L,5,vs.,5,W,brokenmotor,9,L,-5,,,,,,,,,,,,,
,6,3,4,blerg,W,5,vs.,5,L,Anthony,8,W,5,,,,,,,,,,,,,
,6,4,3,Joseph,W,6,vs.,6,L,Penxil,7,W,6,,,,,,,,,,,,,
,6,5,2,insideoutside,W,3,vs.,3,L,David V,6,W,3,,,,,,,,,,,,,
,7,1,1,rsha256,DF,3,vs.,3,W,brokenmotor,9,L,-3,,,,,,,,,,,,,
,7,2,8,Anthony,W,3,vs.,3,DF,NAMU,10,W,3,,,,,,,,,,,,,
,7,3,5,RobotX888,L,4,vs.,4,W,Penxil,7,L,-4,,,,,,,,,,,,,
,7,4,4,blerg,W,2,vs.,2,L,David V,6,W,2,,,,,,,,,,,,,
,7,5,2,insideoutside,DF,3,vs.,3,W,Joseph,3,L,-3,,,,,,,,,,,,,
,8,1,1,rsha256,DF,3,vs.,3,W,Anthony,8,L,-3,,,,,,,,,,,,,
,8,2,7,Penxil,W,4,vs.,4,L,brokenmotor,9,W,4,,,,,,,,,,,,,
,8,3,6,David V,W,3,vs.,3,L,NAMU,10,W,3,,,,,,,,,,,,,
,8,4,2,insideoutside,DF,3,vs.,3,W,RobotX888,5,L,-3,,,,,,,,,,,,,
,8,5,3,Joseph,W,3,vs.,3,L,blerg,4,W,3,,,,,,,,,,,,,
,9,1,1,rsha256,DF,6,vs.,6,W,Penxil,7,L,-3,,,,,,,,,,,,,
,9,2,6,David V,W,4,vs.,4,L,Anthony,8,W,4,,,,,,,,,,,,,
,9,3,2,insideoutside,DF,6,vs.,6,W,brokenmotor,9,L,-3,,,,,,,,,,,,,
,9,4,3,Joseph,W,6,vs.,6,DF,NAMU,10,W,6,,,,,,,,,,,,,
,9,5,4,blerg,W,3,vs.,3,L,RobotX888,5,W,3,,,,,,,,,,,,,
,1,1,6,David V,W,2,vs.,2,L,rsha256,1,W,2,,,,,,,,,,,,,
,1,2,7,Penxil,L,4,vs.,4,W,insideoutside,2,L,-4,,,,,,,,,,,,,
,1,3,8,Anthony,L,6,vs.,6,W,Joseph,3,L,-6,,,,,,,,,,,,,
,1,4,9,brokenmotor,W,4,vs.,4,L,blerg,4,W,4,,,,,,,,,,,,,
,1,5,10,NAMU,W,5,vs.,5,L,RobotX888,5,W,5,,,,,,,,,,,,,
,2,1,2,insideoutside,W,4,vs.,4,L,rsha256,1,W,4,,,,,,,,,,,,,
,2,2,6,David V,L,3,vs.,3,W,Joseph,3,L,-3,,,,,,,,,,,,,
,2,3,7,Penxil,L,2,vs.,2,W,blerg,4,L,-2,,,,,,,,,,,,,
,2,4,8,Anthony,W,5,vs.,5,L,RobotX888,5,W,5,,,,,,,,,,,,,
